id,lat,lon,name,type
271065685,31.4875144,74.3593391,Pak Railway Academy,school
271096995,31.4739484,74.4007125,DPS Girls,school
271107138,31.4711759,74.3835941,DPS Sec Z Ph 3,school
271110942,31.4671696,74.3707576,Unknown,school
271138954,31.4814649,74.38662,The Lhr ALMA,school
271140455,31.4809232,74.3909459,Lhr Grammer,school
271166561,31.4911305,74.384834,Boys College,school
271696527,31.4629183,74.3900677,Girls Collage,school
272275806,31.4631247,74.3748012,Unknown,school
272338687,31.5040876,74.3820277,Unknown,school
272381690,31.5502455,74.3456212,Aitchison College,college
272388931,31.5693044,74.3740884,Unknown,school
303276466,31.4793039,74.3602632,Beconhouse,school
303945094,31.4743722,74.2791638,Shofait Intl,school
304566343,31.4877802,74.2977375,Allama Iqbal Medical College,college
304949502,31.4996513,74.3018808,VC Ground,university
305600989,31.4659118,74.3954689,DHA Boy's,college
526681860,31.5019595,74.3085489,Department of Geography,university
533746953,31.476576,74.3762553,Unknown,school
533746958,31.4759682,74.374927,Unknown,school
540757181,31.4295345,74.2950525,Junior Cadet School,school
914219800,31.5129129,74.3373642,Unknown,school
935843937,31.5032098,74.2597746,Unknown,school
1146993017,31.4713939,74.2814124,Lacas,school
1269536211,31.4480732,74.2160241,Unknown,school
1357561219,31.4707565,74.2908592,Lahore Grammar School Johar Town,college
1715929574,31.4684546,74.3181592,Blessing Field School,school
1749454353,31.5228645,74.3377463,ESNA FOUNDATION,school
2296900505,31.4880368,74.3547964,Khalid Secondary School,school
2401670691,31.5668546,74.31915,Broom Hostel,college
3206662921,31.5845184,74.3549294,Govt.Comprehensive Higher Secondary School,school
3228646370,31.4989184,74.3957538,Fauji Foundation School,school
3230608353,31.5605657,74.3067639,Punjab University Cricket Ground,university
3230619155,31.5551319,74.3195576,Fatima Jinnah Medical University,college
3237663887,31.4808306,74.3275402,Divisional Public School (DPS),school
3254549271,31.5224076,74.3323166,Forman Christian College University,university
3260928489,31.5719221,74.3103828,Saint Francis High School,school
3582187617,31.5075429,74.298518,Government High School for Girls,school
3582187618,31.5084256,74.2997572,Government Junior Model School,school
3842374907,31.4510511,74.2929458,یو ایم ٹی گرینز,college
4170047792,31.5633279,74.38288,Society Public School,school
4170047793,31.5632377,74.3829279,Unknown,school
4246311796,31.479516,74.3076859,Scope Centre,school
4249836089,31.4621409,74.2438081,"The University of lahore, Raiwand Road Campus",school
4262475390,31.5021539,74.3058343,Punjab University Centre for undergraduate studies,school
4262478889,31.5386517,74.3707606,CMH Lahore Medical College,school
4281904200,31.4765502,74.3765298,Beaconhouse school,school
4281904891,31.5135099,74.3450323,Bridge accademy ,school
4295714815,31.5233495,74.3175103,Ali Public School,school
4295714816,31.523967,74.3181677,Allied School - ZN Campus,school
4305867294,31.5334452,74.4525847,LGS Paragon Campus,school
4316884094,31.4701234,74.3029275,Kips College 30-A,school
4316934289,31.4675615,74.3064167,Kips College 11-A,school
4317932789,31.5017299,74.3239573,CFE Group of Colleges,college
4327632889,31.5630855,74.3810512,Al Qalam,school
4327632989,31.5649301,74.3879428,Unknown,school
4338127891,31.5049439,74.2939537,Punjab University Examination Halls,school
4339373791,31.5734228,74.3036652,Islamia College Civil Lines LHR,school
4365511490,31.4969776,74.3036782,Unknown,school
4406335589,31.5598235,74.2842001,Pak public foundation school,school
4414399889,31.4530627,74.3151885,Unknown,school
4416074794,31.5700991,74.3010008,Unknown,school
4451240489,31.5631672,74.3742618,"Institute of Railways, Griffin Ground, Mughalpura Lahore, Pakistan",school
4471094389,31.4485959,74.3155643,Riphah International University,school
4547273141,31.5047481,74.3536925,Unknown,college
4547389489,31.4883183,74.4217227,ISSAC,school
4551901789,31.4357946,74.3030527,City District Government Girls High School (Managed by Lahore South East Rotary Club),school
4584255090,31.5591194,74.3200421,St.Anthony's High School,school
4584255190,31.5489199,74.3209863,Apwa School,school
4655947392,31.5491597,74.3977969,Green Hall academy,school
4660717556,31.5278254,74.3179555,پنجاب یونیورسٹی شعبہ قانون,university
4699069324,31.533414,74.302075,Government Central Model High School Samanabad Lahore,school
4706323990,31.436243,74.2672016,حارث کا گھر,school
4713553791,31.4545772,74.3993247,Unknown,school
4743178921,31.514075,74.346275,Corvit Lahore,school
4746664924,31.5148404,74.3473953,Corvit Class Rooms,school
4772160621,31.4785966,74.2651695,Punjab University College of Information Technology (PUCIT),school
4778176640,31.4250952,74.2311281,"University of Sourh Asia , Raiwind Campus",school
4794984423,31.5184828,74.3936913,Fazaia Intermediate College,school
4840099423,31.5042582,74.3582433,Hajvery University Euro Campus,school
4893314021,31.5614789,74.3399888,Unknown,school
4896578421,31.5044955,74.275196,Govt. High School for boys,school
4896578521,31.5116845,74.2845567,Govt. High School for girls,school
4907505323,31.680213,74.2768261,Worker Welfare School (Boys) Rana Town,school
4907505335,31.6677358,74.2806789,Concordia College,college
4907505345,31.6471249,74.2838968,Government Boys High School,school
4907505349,31.6465583,74.2828184,Hashmat School System,school
4909385122,31.5044956,74.2751302,Govt. High School for boys,school
4909417022,31.4516111,74.2219253,RPS. Muhafiz Town,school
4909438421,31.452908,74.2176263,Iqra Public School,school
4910219495,31.6275697,74.2873356,AL-NOOR COLLEGE,college
4910219499,31.626028,74.2889795,"CDG Boys High School, Factory Area Shahdara",school
4910219621,31.6211975,74.2888043,"Stars Group Of Colleges, Shahdara",college
