id,highway,name,lat,lon
12231953,secondary,Unnamed Road,0,0
12232242,tertiary,کشمیر روڈ,0,0
12232506,secondary,Sunderdas Road,0,0
12235561,tertiary,D/E Diagonal Road,0,0
12236738,tertiary,Spencer Road,0,0
12237270,tertiary,سرفراز رفیق روڈ,0,0
12237880,tertiary,Sarfraz Rafiqi Road,0,0
12309861,secondary,Ustah Allah Baskh Road,0,0
12311039,secondary,ساندہ روڈ,0,0
12313793,secondary,Dev Samaj Road,0,0
12313973,tertiary,Harilodge Street 39,0,0
12314084,secondary,Naseer-ud-Din Road,0,0
12314332,tertiary,Qari Road,0,0
12314985,secondary,S. Ahmed Barelvi Road,0,0
12315412,secondary,Poonch Road,0,0
12315521,secondary,Shahrah-e-Johar,0,0
12523956,secondary,سروس روڈ ویسٹ جی-11,0,0
12524613,tertiary,Margalla Avenue,0,0
12528359,primary,جناح ایونیو,0,0
12686165,secondary,Service Road North I9,0,0
12687590,secondary,Service Road East I-10,0,0
12687960,tertiary,Service Road West I9,0,0
12688343,tertiary,Chinar Road,0,0
12691494,secondary,Sir Khwaja Nazimuddin Road,0,0
12877794,tertiary,لقمان حکیم روڈ,0,0
12956763,secondary,شام نگر روڈ,0,0
13052454,secondary,پارک روڈ,0,0
13248351,primary,Agha Shahi (9th) Avenue,0,0
13470710,tertiary,Unnamed Road,0,0
13470922,secondary,عزیز روڈ,0,0
13471054,secondary,عمر دین روڈ,0,0
13471662,secondary,Main Boulevard Gulberg,0,0
13472151,tertiary,Unnamed Road,0,0
13472253,tertiary,Unnamed Road,0,0
13472360,tertiary,اسٹریٹ 6,0,0
13475274,secondary,Abu Bakr Road,0,0
13475361,tertiary,Chaudhry Rehmat Ali Road,0,0
13677394,tertiary,Ghalib Road,0,0
13678242,secondary,Unnamed Road,0,0
13688153,primary,خیابان فردوسی,0,0
13688309,secondary,Ali Road,0,0
13688416,secondary,Abu Bakr Road,0,0
13688433,secondary,Abu Bakr Road,0,0
13688499,tertiary,Civil Defence Road,0,0
13688520,secondary,PIA Main Boulevard,0,0
13688748,tertiary,NFC Main Blvd,0,0
13786877,primary,7th Avenue,0,0
13787347,primary,جناح ایونیو,0,0
13788706,primary,Old Airport Rd,0,0
13788709,primary,Old Airport Rd,0,0
13788713,primary,Old Airport Rd,0,0
13788753,primary,Old Airport Rd,0,0
13855723,tertiary,Unnamed Road,0,0
14181413,secondary,Ganj Mandi Road,0,0
14181983,secondary,Najam Shaheed Road (Haripur Road),0,0
14182261,tertiary,Roomi Road,0,0
14183086,secondary,ویسٹریج روڈ,0,0
14184756,secondary,Unnamed Road,0,0
14184769,secondary,Railway Workshop Road (Serai Beli Ram Road),0,0
14186636,tertiary,یونیورسٹی روڈ,0,0
14642339,secondary,Unnamed Road,0,0
14642495,secondary,Valencia Town Main Boulevard,0,0
16107702,secondary,زیلدار روڈ,0,0
16109626,secondary,Samanabad Main Boulevard,0,0
16109778,secondary,Ghazali Road,0,0
16109976,tertiary,Unnamed Road,0,0
16112062,secondary,Gurumangat Road,0,0
16112248,tertiary,Tipu Road,0,0
16786839,tertiary,شاہ عبداللطیف روڈ,0,0
16786932,tertiary,محمد بخش روڈ,0,0
16787016,tertiary,Sachal Sarmast Road (G7),0,0
16787026,tertiary,Sultan Bahu Road,0,0
16787181,tertiary,Rehman Baba Road,0,0
16787338,tertiary,وارث شاہ روڈ,0,0
16787419,tertiary,Khushal Khan Khattak Road,0,0
16787533,tertiary,Saddar Road,0,0
16787937,tertiary,Jasmin Road,0,0
17392150,tertiary,Service Road East G-11,0,0
17392792,tertiary,Service Road East G-11,0,0
17393920,secondary,Sachal Sarmast Road (G-11),0,0
17395357,secondary,Kurram Road,0,0
17397249,primary,ناظم الدین روڈ,0,0
17397780,secondary,10th Avenue,0,0
17399149,secondary,Service Road East G-10,0,0
17437506,secondary,Pir Sohawa Road,0,0
17437593,secondary,Unnamed Road,0,0
17439204,secondary,Pir Sohawa Road,0,0
17440679,tertiary,کالج روڈ,0,0
18348082,secondary,Sawan Road,0,0
18348508,secondary,Mangla Road,0,0
18348763,secondary,Rohtas Road,0,0
18349139,tertiary,Unnamed Road,0,0
18349896,secondary,Neelum Road,0,0
18356880,secondary,Jaffar Khan Jamali Road,0,0
18357538,secondary,ابن سینا روڈ,0,0
18358262,secondary,ابن سینا روڈ,0,0
18817578,secondary,South Circular Avenue,0,0
18818055,tertiary,Circular Avenue,0,0
18818105,tertiary,7th South Street,0,0
18818484,tertiary,13th South Street,0,0
18818558,tertiary,Old Sunset Boulevard,0,0
18818982,tertiary,Sailor Street,0,0
18819062,tertiary,DHA Link Road,0,0
18819132,tertiary,Unnamed Road,0,0
18819497,tertiary,Old Sunset Boulevard,0,0
18820045,tertiary,Unnamed Road,0,0
18820919,tertiary,Khayaban-e-Muhafiz,0,0
18821340,primary,New M A Jinnah Road,0,0
19091463,tertiary,3rd Road,0,0
19546141,tertiary,Valencia Main Boulevard Road,0,0
19557154,primary,Dadyal Road,0,0
19880006,secondary,ابن سینا روڈ,0,0
19884694,primary,Agha Shahi (9th) Avenue,0,0
19885534,primary,خیابان اقبال,0,0
19885633,secondary,ابن سینا روڈ,0,0
19885662,secondary,ابن سینا روڈ,0,0
19885776,primary,ناظم الدین روڈ,0,0
19886550,primary,7th Avenue,0,0
19886840,primary,7th Avenue Underpass,0,0
19887259,primary,7th Avenue Underpass,0,0
19887284,primary,7th Avenue,0,0
19888208,primary,7th Avenue,0,0
19894943,primary,ناظم الدین روڈ,0,0
19894966,primary,ناظم الدین روڈ,0,0
19894992,primary,ناظم الدین روڈ,0,0
19895119,secondary,ابن سینا روڈ,0,0
19895137,secondary,ابن سینا روڈ,0,0
19895160,secondary,ابن سینا روڈ,0,0
19904503,secondary,Sir Khwaja Nazimuddin Road,0,0
20105851,tertiary,ہلال روڈ,0,0
20117532,tertiary,ہلال روڈ,0,0
20117569,tertiary,ہلال روڈ,0,0
20117828,tertiary,ہلال روڈ,0,0
20186176,secondary,Sir Khwaja Nazimuddin Road,0,0
20315246,tertiary,Unnamed Road,0,0
20334306,tertiary,Unnamed Road,0,0
20334327,tertiary,Major Road,0,0
20334458,tertiary,سنبل روڈ,0,0
20334494,tertiary,سنبل روڈ,0,0
20334524,tertiary,سنبل روڈ,0,0
20334669,secondary,10th Avenue,0,0
20334711,secondary,10th Avenue,0,0
20334775,primary,جناح ایونیو,0,0
20335091,secondary,Sir Khwaja Nazimuddin Road,0,0
20337110,tertiary,Unnamed Road,0,0
20337570,tertiary,Mangla Road,0,0
20337586,secondary,Mangla Road,0,0
20337604,secondary,Mangla Road,0,0
20337633,secondary,Rohtas Road,0,0
20337639,secondary,Rohtas Road,0,0
20337646,secondary,Rohtas Road,0,0
20337658,secondary,Rohtas Road,0,0
20337668,secondary,Rohtas Road,0,0
20337686,secondary,Kurram Road,0,0
20337700,secondary,Kurram Road,0,0
20337719,secondary,Unnamed Road,0,0
20337899,secondary,Sawan Road,0,0
20337910,secondary,Sawan Road,0,0
20337935,secondary,Sawan Road,0,0
20337944,secondary,Sawan Road,0,0
20337956,secondary,Sawan Road,0,0
20338065,secondary,Sachal Sarmast Road (G-11),0,0
20456338,tertiary,ہلال روڈ,0,0
20888834,secondary,Sir Khwaja Nazimuddin Road,0,0
20891097,tertiary,Agha Khan Road,0,0
20893506,primary,شارع دستور,0,0
20898413,tertiary,Luqman Haqeem Road,0,0
20901585,primary,خیابان اقبال,0,0
20901885,tertiary,Service Road West G5;Service Road West F5,0,0
20902341,tertiary,Begum Iqbal Sarfraz Road (Bazar Road),0,0
20902912,tertiary,مسجد روڈ,0,0
21055710,secondary,Sher-e-Bangla A K Fazlul Huq Road,0,0
21058958,secondary,Sher-e-Bangla A K Fazlul Huq Road,0,0
21059195,secondary,Sher-e-Bangla A K Fazlul Huq Road,0,0
21059530,tertiary,G8 Markaz Road,0,0
21059621,tertiary,G8 Markaz Road,0,0
21059650,tertiary,G8 Markaz Road,0,0
21059669,tertiary,G8 Markaz Road,0,0
21059706,tertiary,G8 Markaz Road,0,0
21059759,tertiary,G8 Markaz Road,0,0
21063444,tertiary,G8 Markaz Road,0,0
21080629,secondary,Service Road South I-10,0,0
21081119,secondary,Service Road North I-10,0,0
21084017,tertiary,Unnamed Road,0,0
21314221,secondary,Service Road West I-10,0,0
21366576,primary,Kotli Road,0,0
22057460,tertiary,Col. Sher Khan Shaheed Road,0,0
22060582,tertiary,Hassan Ali Afandi Road,0,0
22292090,tertiary,Kohistan Road,0,0
22295243,tertiary,Hill Road,0,0
22295723,tertiary,School Road,0,0
22329161,secondary,Commercial Avenue,0,0
22329167,secondary,Khayaban-e-Bahria,0,0
22330608,tertiary,11th Commercial Street,0,0
22330752,primary,عبد الستار ایدھی روڈ,0,0
22330782,primary,عبد الستار ایدھی روڈ,0,0
22330828,tertiary,Khayaban-e-Seher,0,0
22330830,tertiary,Khayaba e Rahat,0,0
22330857,secondary,Khayaban-e-Mujahid,0,0
22330872,tertiary,Khayaban-e-Tanzeem,0,0
22330898,primary,Marine Promenade,0,0
22335867,tertiary,کاغان روڈ,0,0
22337327,tertiary,کاغان روڈ,0,0
22337937,tertiary,Johar Road,0,0
22337938,tertiary,Johar Road,0,0
22338190,primary,مری روڈ,0,0
22338191,primary,مری روڈ,0,0
22530913,secondary,Kurram Road,0,0
22574937,secondary,Unnamed Road,0,0
22575354,secondary,Service Road West I-10,0,0
22575412,secondary,Service Road South I-10,0,0
22575457,tertiary,Chinar Road,0,0
22660962,tertiary,Mehr Ali Shah Road,0,0
22661002,tertiary,Mehr Ali Shah Road,0,0
22661154,tertiary,ہلال روڈ,0,0
22661245,tertiary,ہلال روڈ,0,0
22662028,secondary,Unnamed Road,0,0
22675632,primary,ناظم الدین روڈ,0,0
22675637,primary,ناظم الدین روڈ,0,0
22675638,primary,ناظم الدین روڈ,0,0
22688632,tertiary,West Avenue,0,0
22688670,tertiary,Korangi Service Road,0,0
22688824,tertiary,East Avenue,0,0
22688871,tertiary,15th Street East,0,0
22688902,tertiary,18th Street East,0,0
22688934,tertiary,Waris Shah Road,0,0
22688941,tertiary,Unnamed Road,0,0
22688965,secondary,8th Sunset Street,0,0
22689188,tertiary,Golf Course Road 4,0,0
22689318,secondary,Unnamed Road,0,0
22689381,tertiary,Murtaza Lane 4,0,0
22689480,secondary,Altaf Ali Barelvi Road,0,0
22689519,secondary,Shahrah-e-Noor Jahan,0,0
22689528,primary,Manghopir Road,0,0
22689558,secondary,Shahrah-e-Muhammad Tufail,0,0
22689562,tertiary,Shahrah-e-Azeem Ahmad Khan,0,0
22689584,tertiary,Shahrah-e-Ahmed Ullah Shaheed,0,0
22689690,tertiary,Khwaja Shamsuudin Azeemi Road,0,0
22689699,primary,Manghopir Road,0,0
22689830,tertiary,Khayaban e Rahat,0,0
22689834,secondary,Khayaban-e-Bahria,0,0
22701132,tertiary,کالج روڈ,0,0
22701162,tertiary,کالج روڈ,0,0
22701271,tertiary,کالج روڈ,0,0
22701301,tertiary,Kohsar Road,0,0
22703237,tertiary,Sarwar Road,0,0
22703379,tertiary,Iqbal Road,0,0
22703444,tertiary,کالج روڈ,0,0
22703525,tertiary,Abdul Hameed Khan Road,0,0
22703664,tertiary,Gawalmandi Road,0,0
22733339,tertiary,Sarwar Road (Gwyn Thomas Road),0,0
22733364,tertiary,Gawalmandi Road,0,0
22742466,tertiary,Service Road East I-10,0,0
22742478,secondary,Unnamed Road,0,0
22744651,tertiary,Khayaban e Tauheed,0,0
22744666,tertiary,اسٹریٹ 17,0,0
22744679,tertiary,اسٹریٹ ای,0,0
22744775,secondary,صبا ایونیو,0,0
22744841,tertiary,Khayaban-e-Bukhari,0,0
22744849,tertiary,Khayaban-e-Qasim,0,0
22744858,tertiary,Unnamed Road,0,0
22744902,secondary,اسکول روڈ,0,0
22744934,tertiary,Saint Patrick Street,0,0
22752398,secondary,Saidpur Road,0,0
22752404,secondary,روڈ 5,0,0
22752409,secondary,روڈ 4ب,0,0
22764901,tertiary,Unnamed Road,0,0
22764904,tertiary,Unnamed Road,0,0
22813909,tertiary,Bhitai Road,0,0
22813942,tertiary,ماروی روڈ,0,0
22813987,tertiary,یو ٹرن,0,0
22814370,tertiary,Ravi Road,0,0
22814495,tertiary,Jhelum Road,0,0
22836491,tertiary,Unnamed Road,0,0
22993341,tertiary,Unnamed Road,0,0
22993349,tertiary,Nurpur Road,0,0
22993361,tertiary,Service Road West G5,0,0
22993418,tertiary,روڈ 3,0,0
22993425,tertiary,روڈ 4,0,0
22993442,tertiary,روڈ 3,0,0
22993453,tertiary,روڈ 3,0,0
22993456,tertiary,روڈ 3,0,0
22993513,tertiary,اسٹریٹ 7,0,0
22993548,tertiary,اسٹریٹ 1,0,0
22993568,tertiary,Unnamed Road,0,0
22996316,tertiary,Unnamed Road,0,0
22996569,tertiary,Muncipal Road,0,0
23004471,tertiary,Sher-e-Bangla A K Fazlul Huq Road,0,0
23004551,tertiary,Agha Khan Road,0,0
23004552,tertiary,Agha Khan Road,0,0
23006103,tertiary,Mir Chakar Khan Road,0,0
23006120,tertiary,Rehman Baba Road,0,0
23006178,tertiary,Tipu Sultan Road,0,0
23006194,tertiary,Nusrat Fateh Ali Khan Road,0,0
23006208,tertiary,Unnamed Road,0,0
23006212,tertiary,Unnamed Road,0,0
