id,waterway,name,lat,lon
29901786,stream,Mastuj,0,0
29901805,stream,Mastuj,0,0
29901820,stream,Unnamed Waterway,0,0
29901821,stream,Mastuj,0,0
29902216,river,Ribat River,0,0
29903177,river,Karambar,0,0
29903251,stream,Unnamed Waterway,0,0
29904009,river,Unnamed Waterway,0,0
29904018,stream,Unnamed Waterway,0,0
29904025,river,Chapursan River,0,0
29905285,stream,Kamansu River,0,0
29905332,river,واخجير رود,0,0
29905396,stream,Unnamed Waterway,0,0
29905442,stream,Unnamed Waterway,0,0
29905518,stream,Unnamed Waterway,0,0
29905666,stream,Unnamed Waterway,0,0
29906773,stream,Unnamed Waterway,0,0
29906784,stream,Unnamed Waterway,0,0
29906800,stream,Unnamed Waterway,0,0
29906806,stream,Unnamed Waterway,0,0
29906844,stream,Unnamed Waterway,0,0
29907168,stream,Unnamed Waterway,0,0
29907585,stream,Unnamed Waterway,0,0
29907604,river,Unnamed Waterway,0,0
29908069,river,Unnamed Waterway,0,0
29908200,river,Unnamed Waterway,0,0
29908446,river,Bara Khun River,0,0
29908636,river,Unnamed Waterway,0,0
29908659,river,Unnamed Waterway,0,0
29908678,river,Unnamed Waterway,0,0
29909441,river,塔敦巴什河,0,0
29909585,river,吾甫浪沟,0,0
29909744,stream,Unnamed Waterway,0,0
29909854,stream,Unnamed Waterway,0,0
32281484,canal,Unnamed Waterway,0,0
32321433,canal,Unnamed Waterway,0,0
32321434,canal,Unnamed Waterway,0,0
32321435,canal,Unnamed Waterway,0,0
32547055,river,نندنا,0,0
32547056,river,دریائے سواں,0,0
33816299,canal,Warsak Gravity Canal,0,0
35464319,canal,Kabul Canal,0,0
35464406,canal,Unnamed Waterway,0,0
41681885,river,دریائے ستلج,0,0
41712896,river,دریائے ستلج,0,0
41713013,river,Char Tangey,0,0
44378864,river,Sutlej,0,0
44378874,river,Sutlej River,0,0
44378885,river,دریائے ستلج,0,0
44378944,river,دریائے ستلج,0,0
44378954,river,دریائے ستلج,0,0
44378964,river,دریائے ستلج,0,0
44378971,river,دریائے ستلج,0,0
44378985,river,دریائے ستلج,0,0
44378998,river,دریائے ستلج,0,0
44379008,river,دریائے ستلج,0,0
44379017,river,دریائے ستلج,0,0
44379027,river,دریائے ستلج,0,0
44379037,river,دریائے ستلج,0,0
44379046,river,دریائے ستلج,0,0
44379049,river,دریائے ستلج,0,0
44379068,river,دریائے ستلج,0,0
44379079,river,دریائے ستلج,0,0
44379089,river,دریائے ستلج,0,0
44379094,river,دریائے ستلج,0,0
44379116,river,دریائے ستلج,0,0
44379124,river,دریائے ستلج,0,0
44379131,river,دریائے ستلج,0,0
44379138,river,دریائے ستلج,0,0
44816378,stream,Unnamed Waterway,0,0
45470411,canal,Unnamed Waterway,0,0
45470412,canal,Unnamed Waterway,0,0
45470471,canal,Unnamed Waterway,0,0
45495158,canal,Unnamed Waterway,0,0
45505374,canal,Karachi Canal Road,0,0
45534138,canal,Unnamed Waterway,0,0
45534619,canal,Unnamed Waterway,0,0
45535589,canal,Unnamed Waterway,0,0
45535676,canal,Unnamed Waterway,0,0
45535741,river,دریائے ستلج,0,0
45535907,canal,Unnamed Waterway,0,0
45537239,river,دریائے سندھ,0,0
45537524,canal,دادو کینال,0,0
45537826,river,Unnamed Waterway,0,0
45538040,canal,Unnamed Waterway,0,0
45626987,canal,Unnamed Waterway,0,0
45626990,canal,Unnamed Waterway,0,0
45627222,canal,Muzaffargarh Canal Taunsa-Panjnad Canal,0,0
45627898,canal,Unnamed Waterway,0,0
45778860,river,گمبھیر,0,0
45825873,river,باری دوآب نہر,0,0
45825898,river,سدھنائی میلسی لنک نہر,0,0
45828519,river,Unnamed Waterway,0,0
45828541,canal,Eastern Sadqia Canal,0,0
45828620,canal,Fordwah Canal,0,0
45828647,canal,Hakra Branch Canal,0,0
45828658,canal,Malik Branch Canal,0,0
45828720,canal,Hakra canal,0,0
45828790,canal,Outfan drain,0,0
45828945,canal,Eastern Canal,0,0
45829424,river,Degh,0,0
45829425,river,نالہ ڈیک,0,0
48138731,canal,رکھ برانچ نہر,0,0
48141825,canal,گوگيره برانچ ﻧﻬﺮ,0,0
48165434,canal,لوِئر گوگيره برانچ ﻧﻬﺮ,0,0
48165443,canal,Unnamed Waterway,0,0
48165444,canal,اپر گوگيره برانچ ﻧﻬﺮ,0,0
48165483,river,جھنگ برانچ اپر,0,0
48600658,river,Harian Kaur,0,0
48600859,river,Hodar Kaur,0,0
51250183,canal,Chashma-Jhelum link canal,0,0
51542753,stream,Unnamed Waterway,0,0
51808053,stream,Unnamed Waterway,0,0
53180186,canal,Unnamed Waterway,0,0
53274208,canal,Ganaish Wah Canal,0,0
53274214,canal,Unnamed Waterway,0,0
53274216,canal,Unnamed Waterway,0,0
53274219,canal,Unnamed Waterway,0,0
53378186,canal,Unnamed Waterway,0,0
53378187,canal,Unnamed Waterway,0,0
53378188,canal,Unnamed Waterway,0,0
53378190,canal,Unnamed Waterway,0,0
53378422,canal,Unnamed Waterway,0,0
53397132,stream,بھیڈ نالہ,0,0
53397133,river,بھیڈ نالہ,0,0
53397134,river,نہر اپر چناب,0,0
53397435,stream,بھیڈ نالہ,0,0
53551409,stream,Unnamed Waterway,0,0
54633518,canal,Unnamed Waterway,0,0
54633520,canal,Unnamed Waterway,0,0
58692749,river,Orangi Stream,0,0
59108437,river,Hunza River,0,0
59108438,river,Hunza River,0,0
59229510,canal,Unnamed Waterway,0,0
59639331,river,Tutu Uns,0,0
60708885,river,Hunza,0,0
60708886,river,Kilik Jilga,0,0
60709308,river,Unnamed Waterway,0,0
60709309,river,Khunjerāb River,0,0
60709845,river,Khunjerāb River,0,0
61752158,river,Gordur-i-Giraf,0,0
61964477,stream,Lupghar Yaz Stream,0,0
61964478,stream,Unnamed Waterway,0,0
62117289,river,Birir Gol,0,0
62209705,river,Ujh River,0,0
62209708,stream,Unnamed Waterway,0,0
68521008,stream,صنعتی فضلہ پانی,0,0
69903058,river,Gabral River,0,0
69903181,river,دریائے سوات,0,0
69904069,river,دریائے سوات,0,0
69905169,river,Unnamed Waterway,0,0
69905170,river,Unnamed Waterway,0,0
69905747,river,Rupal Gah,0,0
70095028,river,Unnamed Waterway,0,0
70095309,river,Unnamed Waterway,0,0
70095606,river,Unnamed Waterway,0,0
70095852,river,Unnamed Waterway,0,0
70097487,river,Unnamed Waterway,0,0
70800621,river,Ushu River,0,0
70800645,river,Bahandra River,0,0
70802055,river,دریائے پنجکوڑہ,0,0
70802314,river,Unnamed Waterway,0,0
70802315,river,Unnamed Waterway,0,0
70802465,stream,Unnamed Waterway,0,0
70802466,river,Dir Khwar,0,0
70802467,stream,Unnamed Waterway,0,0
70804420,river,Kalpani River,0,0
70804508,river,کلپانی,0,0
70889206,canal,Unnamed Waterway,0,0
70891082,river,Chashma Right Bank Canal,0,0
70891096,river,Chashma Right Bank Canal,0,0
70948748,canal,Unnamed Waterway,0,0
70948750,canal,Unnamed Waterway,0,0
70948770,canal,Unnamed Waterway,0,0
70948791,canal,Unnamed Waterway,0,0
70948792,canal,Unnamed Waterway,0,0
70949112,stream,Unnamed Waterway,0,0
70949189,stream,Unnamed Waterway,0,0
70949190,stream,Unnamed Waterway,0,0
70949229,river,Bara,0,0
70949230,stream,Unnamed Waterway,0,0
70949252,river,Bara,0,0
70949253,river,Bara River  / باڑہ دریا,0,0
70949254,stream,Unnamed Waterway,0,0
70949404,stream,Unnamed Waterway,0,0
70949479,stream,Unnamed Waterway,0,0
70949480,stream,Unnamed Waterway,0,0
70949481,stream,Unnamed Waterway,0,0
70949560,stream,Unnamed Waterway,0,0
70952969,stream,Unnamed Waterway,0,0
70962199,river,Unnamed Waterway,0,0
70966150,river,Budhni Pull,0,0
70970968,river,Shah Alam River,0,0
70970979,river,Unnamed Waterway,0,0
70978299,river,Shah Alam River,0,0
70978866,river,Unnamed Waterway,0,0
70978871,river,Unnamed Waterway,0,0
70980001,river,Unnamed Waterway,0,0
70984093,stream,Unnamed Waterway,0,0
71003451,river,Unnamed Waterway,0,0
71071473,river,دریائے سوات,0,0
71074935,river,کلپانی,0,0
71074936,canal,Unnamed Waterway,0,0
71074937,river,Unnamed Waterway,0,0
71177033,river,ديولئ,0,0
71177034,river,مسکینی خوڑ,0,0
71177035,river,Unnamed Waterway,0,0
71177036,river,Unnamed Waterway,0,0
71177037,river,Unnamed Waterway,0,0
71177038,river,Babukara River,0,0
71177039,river,Unnamed Waterway,0,0
71177041,stream,Unnamed Waterway,0,0
71177043,river,Qalagai River,0,0
71177044,river,Unnamed Waterway,0,0
71177045,river,Unnamed Waterway,0,0
71178239,river,Unnamed Waterway,0,0
71178240,river,Bajaur River,0,0
71237618,river,Chakar River,0,0
71237695,stream,Barkhana Nala,0,0
71238285,river,Unnamed Waterway,0,0
71238453,river,Machi Vala,0,0
71238541,river,Unnamed Waterway,0,0
71238585,river,Unnamed Waterway,0,0
71238680,river,Unnamed Waterway,0,0
71238827,river,Unnamed Waterway,0,0
71239091,river,Unnamed Waterway,0,0
71239464,river,Unnamed Waterway,0,0
71240118,river,Unnamed Waterway,0,0
71240745,river,Unnamed Waterway,0,0
71241005,river,Unnamed Waterway,0,0
71241029,river,Unnamed Waterway,0,0
71282063,stream,Unnamed Waterway,0,0
71284009,river,Unnamed Waterway,0,0
71289304,river,دریائے کیچ,0,0
71290571,river,Rakhshan,0,0
